#property,prefCode,regionCode,prefName,cityName,surveyDate,regionName,totalPopulation,male,woman,man1,woman1,man2,woman2,man3,woman3,man4,woman4,man5,woman5,man6,woman6,man7,woman7,man8,woman8,man9,woman9,man10,woman10,man11,woman11,man12,woman12,man13,woman13,man14,woman14,man15,woman15,man16,woman16,man17,woman17,man18,woman18,numberOfHouseholds,note,location
1,37201,,香川県,高松市,7/1/2021,塩屋町,215,99,116,2,4,2,2,6,2,2,2,4,3,8,8,2,3,6,5,10,7,13,10,8,15,11,6,6,9,2,8,9,9,3,6,2,10,3,7,133,,"34.342286,134.055021"
2,37201,,香川県,高松市,7/1/2021,築地町,661,305,356,6,9,8,8,5,9,13,5,11,15,21,19,7,14,18,19,23,19,19,30,29,28,24,16,21,33,25,22,32,32,20,25,10,21,13,32,397,,"34.341274,134.056839"
3,37201,,香川県,高松市,7/1/2021,塩上町,111,58,53,1,1,2,1,0,0,1,0,8,2,11,5,7,3,1,2,1,2,6,5,1,0,3,5,2,2,4,1,4,3,1,9,1,6,4,6,79,,"34.335876,134.052375"
4,37201,,香川県,高松市,7/1/2021,塩上町１丁目,211,111,100,1,1,0,3,2,0,3,2,5,1,8,7,8,5,6,1,8,2,8,3,11,10,5,5,5,3,4,10,15,10,9,11,8,10,5,16,148,,"34.338200,134.053646"
5,37201,,香川県,高松市,7/1/2021,塩上町２丁目,719,340,379,6,8,5,9,10,9,14,7,31,35,22,18,13,12,17,20,31,17,32,39,25,26,26,25,28,20,18,28,28,27,15,21,9,24,10,34,461,,"34.338544,134.055472"
6,37201,,香川県,高松市,7/1/2021,塩上町３丁目,638,311,327,12,12,15,12,13,9,12,9,12,15,19,15,15,16,20,15,25,29,26,24,21,17,20,16,15,19,20,25,29,27,15,25,10,17,12,25,364,,"34.339112,134.057533"
7,37201,,香川県,高松市,7/1/2021,八坂町,85,38,47,2,1,1,1,1,3,1,0,0,1,2,3,3,1,1,1,6,5,2,2,0,1,3,2,1,2,2,4,3,5,3,5,2,3,5,7,52,,"34.339782,134.053748"
8,37201,,香川県,高松市,7/1/2021,福田町,235,107,128,1,1,5,3,4,4,10,5,5,3,4,3,2,3,7,4,5,13,6,9,6,6,9,9,12,8,6,10,8,15,6,8,6,4,5,20,132,,"34.341477,134.053890"
9,37201,,香川県,高松市,7/1/2021,常磐町１丁目,127,55,72,2,3,3,2,1,4,2,1,3,3,2,3,0,2,5,7,3,5,6,7,5,3,7,5,5,6,1,3,7,4,1,3,1,3,1,8,68,,"34.338740,134.051256"
10,37201,,香川県,高松市,7/1/2021,常磐町２丁目,261,136,125,1,3,3,3,0,2,1,1,19,10,14,11,7,4,11,6,8,3,8,6,9,9,10,8,11,8,5,7,10,9,5,7,6,16,8,12,179,,"34.337613,134.051101"
11,37201,,香川県,高松市,7/1/2021,瓦町１丁目,190,96,94,1,1,2,2,5,3,3,2,5,4,4,9,1,4,4,1,4,4,7,11,10,0,10,5,6,4,7,6,8,11,7,8,9,6,3,13,127,,"34.341325,134.051585"
12,37201,,香川県,高松市,7/1/2021,瓦町２丁目,280,127,153,2,2,3,3,2,3,2,6,6,5,4,9,4,3,7,7,6,6,11,15,8,10,13,6,9,7,8,12,21,26,8,9,8,10,5,14,172,,"34.339954,134.051305"
13,37201,,香川県,高松市,7/1/2021,古馬場町,172,86,86,0,0,2,0,1,1,1,1,4,0,3,1,6,2,1,1,3,2,11,4,3,4,5,7,7,7,11,5,8,13,6,6,7,9,7,23,121,,"34.342517,134.051924"
14,37201,,香川県,高松市,7/1/2021,御坊町,128,67,61,0,2,3,0,3,1,5,1,5,0,2,4,2,1,5,2,2,5,8,5,3,4,8,4,2,1,3,5,5,7,4,7,1,8,6,4,65,,"34.343378,134.052548"
15,37201,,香川県,高松市,7/1/2021,今新町,125,60,65,1,0,2,1,1,1,1,1,3,0,3,3,2,2,1,1,3,3,8,3,7,5,3,4,2,4,2,4,8,9,2,5,3,6,8,13,81,,"34.343979,134.052660"
16,37201,,香川県,高松市,7/1/2021,大工町,163,81,82,0,0,2,0,2,0,2,2,3,3,3,1,6,3,2,2,12,0,4,7,7,9,6,4,5,9,9,10,4,7,5,9,4,6,5,10,112,,"34.344544,134.052793"
17,37201,,香川県,高松市,7/1/2021,百間町,271,134,137,4,2,2,6,5,4,7,5,8,4,5,3,6,4,6,8,10,13,15,11,10,10,15,12,3,7,10,6,11,7,8,16,2,3,7,16,174,,"34.345116,134.052861"
