#LINK,,,,
#lang,ja,,,
#attribution_name,高松市,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,
#file_name,0084,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/menu_Information,,,
#property,lunchDay,menuName,foodName,quantity
#object_type_xsd,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion
1,7/1/2021,ひじきごはん,精白米（自校）,60
2,7/1/2021,ひじきごはん,牛肉（2×2㎝スライス）,15
3,7/1/2021,ひじきごはん,人参,6
4,7/1/2021,ひじきごはん,つきこんにゃく,6
5,7/1/2021,ひじきごはん,（冷）むき枝豆,4
6,7/1/2021,ひじきごはん,（乾）ひじき,0.9
7,7/1/2021,ひじきごはん,サラダ油,0.6
8,7/1/2021,ひじきごはん,濃口醤油,2.2
9,7/1/2021,ひじきごはん,上白糖,1.5
10,7/1/2021,ひじきごはん,清酒,1.5
11,7/1/2021,ひじきごはん,食塩,0.7
12,7/1/2021,牛乳,牛乳,206
13,7/1/2021,にんじんのあえもの,人参,30
14,7/1/2021,にんじんのあえもの,きゅうり,25
15,7/1/2021,にんじんのあえもの,（缶）ホールコーン,8
16,7/1/2021,にんじんのあえもの,（袋）マヨネーズ,8
17,7/1/2021,根菜だんご汁,（冷）根菜入りつくね,25
18,7/1/2021,根菜だんご汁,しめじ,7
19,7/1/2021,根菜だんご汁,大根,25
20,7/1/2021,根菜だんご汁,中ねぎ,5
21,7/1/2021,根菜だんご汁,中みそ,6
22,7/1/2021,根菜だんご汁,白みそ,5
23,7/1/2021,根菜だんご汁,削り節　だし用,5
24,7/1/2021,根菜だんご汁,水,115
25,7/1/2021,ヨーグルト,（個）ヨーグルトFe強化,70
26,7/2/2021,麦ごはん,精白米（委託）,70
27,7/2/2021,麦ごはん,米粒麦　委託　,7
28,7/2/2021,牛乳,牛乳,206
29,7/2/2021,さばの梅煮,（冷）さば梅煮,70
30,7/2/2021,ごまあえ,もやし,30
31,7/2/2021,ごまあえ,キャベツ,20
32,7/2/2021,ごまあえ,きゅうり,10
33,7/2/2021,ごまあえ,炒り白ごま,2
34,7/2/2021,ごまあえ,（袋）ゆずかつおドレッシング,10
35,7/2/2021,ふしめん汁,（レト）うずら卵,25
36,7/2/2021,ふしめん汁,型抜きかまぼこ（星）,7
37,7/2/2021,ふしめん汁,玉葱,20
38,7/2/2021,ふしめん汁,人参,5
39,7/2/2021,ふしめん汁,中ねぎ,5
40,7/2/2021,ふしめん汁,ふしめん　,5
41,7/2/2021,ふしめん汁,濃口醤油,0.6
42,7/2/2021,ふしめん汁,食塩,0.4
43,7/2/2021,ふしめん汁,削り節　だし用,5
44,7/2/2021,ふしめん汁,湯,130
45,7/2/2021,七夕ゼリー,（個）七夕ゼリー,40
46,7/5/2021,発芽玄米ごはん,精白米（自校）,68
47,7/5/2021,発芽玄米ごはん,発芽玄米,7
48,7/5/2021,牛乳,牛乳,206
49,7/5/2021,オリーブ地鶏と高野豆腐のうま煮,オリーブ地鶏胸・皮なし(2×2㎝),25
50,7/5/2021,オリーブ地鶏と高野豆腐のうま煮,清酒,1
51,7/5/2021,オリーブ地鶏と高野豆腐のうま煮,サラダ油,0.5
52,7/5/2021,オリーブ地鶏と高野豆腐のうま煮,高野豆腐（サイコロ）,15
53,7/5/2021,オリーブ地鶏と高野豆腐のうま煮,玉葱,40
54,7/5/2021,オリーブ地鶏と高野豆腐のうま煮,人参,10
55,7/5/2021,オリーブ地鶏と高野豆腐のうま煮,（冷）さやいんげん,7
56,7/5/2021,オリーブ地鶏と高野豆腐のうま煮,濃口醤油,3
57,7/5/2021,オリーブ地鶏と高野豆腐のうま煮,三温糖,2.5
58,7/5/2021,オリーブ地鶏と高野豆腐のうま煮,食塩,0.2
59,7/5/2021,オリーブ地鶏と高野豆腐のうま煮,削り節　だし用,2
60,7/5/2021,オリーブ地鶏と高野豆腐のうま煮,水,50
61,7/5/2021,チンゲンサイのあえもの,キャベツ,30
62,7/5/2021,チンゲンサイのあえもの,チンゲンサイ,25
63,7/5/2021,チンゲンサイのあえもの,人参,5
64,7/5/2021,チンゲンサイのあえもの,（袋）棒々鶏ドレッシング,10
65,7/5/2021,ひじきのり,（袋）ひじきのり,10
66,7/5/2021,冷凍みかん,（個）冷凍みかん,80
67,7/6/2021,コッペパン,コッペパン,50
68,7/6/2021,牛乳,牛乳,206
69,7/6/2021,ささみのコーンフレークフライ,冷）鶏ささみコーンフレークフライ,60
70,7/6/2021,ささみのコーンフレークフライ,なたね油,4
71,7/6/2021,ゆで枝豆,（冷）さやつき枝豆,20
72,7/6/2021,ゆで枝豆,ゆで塩,0.5
73,7/6/2021,コンソメスープ,ベーコン（短冊）,5
74,7/6/2021,コンソメスープ,（冷）白いんげん豆,15
75,7/6/2021,コンソメスープ,玉葱,30
76,7/6/2021,コンソメスープ,じゃがいも,20
77,7/6/2021,コンソメスープ,人参,10
78,7/6/2021,コンソメスープ,レタス　,10
79,7/6/2021,コンソメスープ,セロリー,3
80,7/6/2021,コンソメスープ,パセリ,0.5
81,7/6/2021,コンソメスープ,ローリエ,0.1
82,7/6/2021,コンソメスープ,（レト）がらスープ,4
83,7/6/2021,コンソメスープ,チキンコンソメ,0.6
84,7/6/2021,コンソメスープ,食塩,0.3
85,7/6/2021,コンソメスープ,こしょう,0.03
86,7/6/2021,コンソメスープ,濃口醤油,0.3
87,7/6/2021,コンソメスープ,湯,110
88,7/6/2021,（袋）いちごジャム,（袋）いちごジャム,15
89,7/7/2021,夏野菜カレーライス（麦ごはん）,精白米（委託）,70
90,7/7/2021,夏野菜カレーライス（麦ごはん）,米粒麦　委託　,7
91,7/7/2021,夏野菜カレーライス（麦ごはん）,豚肉並（2×3㎝スライス）,20
92,7/7/2021,夏野菜カレーライス（麦ごはん）,玉葱,40
93,7/7/2021,夏野菜カレーライス（麦ごはん）,じゃがいも,20
94,7/7/2021,夏野菜カレーライス（麦ごはん）,かぼちゃ生カット,20
95,7/7/2021,夏野菜カレーライス（麦ごはん）,なす,15
96,7/7/2021,夏野菜カレーライス（麦ごはん）,サラダ油,2
97,7/7/2021,夏野菜カレーライス（麦ごはん）,ミニ冬瓜,15
98,7/7/2021,夏野菜カレーライス（麦ごはん）,トマト水煮,10
99,7/7/2021,夏野菜カレーライス（麦ごはん）,人参,8
100,7/7/2021,夏野菜カレーライス（麦ごはん）,（冷）むき枝豆,5
101,7/7/2021,夏野菜カレーライス（麦ごはん）,にんにく　,0.5
102,7/7/2021,夏野菜カレーライス（麦ごはん）,生姜,0.2
103,7/7/2021,夏野菜カレーライス（麦ごはん）,サラダ油,2
104,7/7/2021,夏野菜カレーライス（麦ごはん）,小麦粉,5
105,7/7/2021,夏野菜カレーライス（麦ごはん）,サラダ油,5
106,7/7/2021,夏野菜カレーライス（麦ごはん）,カレー粉,1.1
107,7/7/2021,夏野菜カレーライス（麦ごはん）,（レト）がらスープ,3
108,7/7/2021,夏野菜カレーライス（麦ごはん）,トマトケチャップ　１kg,2
109,7/7/2021,夏野菜カレーライス（麦ごはん）,ウスターソース,1.7
110,7/7/2021,夏野菜カレーライス（麦ごはん）,とんかつソース,1
111,7/7/2021,夏野菜カレーライス（麦ごはん）,濃口醤油,1
112,7/7/2021,夏野菜カレーライス（麦ごはん）,チャツネ　450g,1
113,7/7/2021,夏野菜カレーライス（麦ごはん）,赤ぶどう酒,1
114,7/7/2021,夏野菜カレーライス（麦ごはん）,食塩,0.7
115,7/7/2021,夏野菜カレーライス（麦ごはん）,こしょう,0.04
116,7/7/2021,夏野菜カレーライス（麦ごはん）,チキンコンソメ,0.5
117,7/7/2021,夏野菜カレーライス（麦ごはん）,湯,75
118,7/7/2021,牛乳,牛乳,206
119,7/7/2021,海藻サラダ,（乾）海藻ミックス,1.2
120,7/7/2021,海藻サラダ,キャベツ,30
121,7/7/2021,海藻サラダ,きゅうり,15
122,7/7/2021,海藻サラダ,（缶）ホールコーン,5
123,7/7/2021,海藻サラダ,（袋）青じそドレッシング,10
124,7/7/2021,小煮干し,小煮干し,4
