#LINK,,,,
#lang,ja,,,
#attribution_name,高松市,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,
#file_name,0084,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/menu_Information,,,
#property,lunchDay,menuName,foodName,quantity
#object_type_xsd,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion
1,2/1/2023,麦ごはん,精白米（自校）,73
2,2/1/2023,麦ごはん,米粒麦　自校,7
3,2/1/2023,味つけのり,（個）味付けのり（5枚）,2.5
4,2/1/2023,牛乳,牛乳,206
5,2/1/2023,あつあげとチンゲンサイのみそいため,豚肉赤身ミンチ,15
6,2/1/2023,あつあげとチンゲンサイのみそいため,清酒,2
7,2/1/2023,あつあげとチンゲンサイのみそいため,生姜,0.6
8,2/1/2023,あつあげとチンゲンサイのみそいため,にんにく　,0.2
9,2/1/2023,あつあげとチンゲンサイのみそいため,（冷）厚揚げ（カット）,50
10,2/1/2023,あつあげとチンゲンサイのみそいため,玉葱,40
11,2/1/2023,あつあげとチンゲンサイのみそいため,人参,10
12,2/1/2023,あつあげとチンゲンサイのみそいため,たけのこ水煮（ホール）,8
13,2/1/2023,あつあげとチンゲンサイのみそいため,しめじ,5
14,2/1/2023,あつあげとチンゲンサイのみそいため,チンゲンサイ,20
15,2/1/2023,あつあげとチンゲンサイのみそいため,ごま油,0.8
16,2/1/2023,あつあげとチンゲンサイのみそいため,中双糖,2
17,2/1/2023,あつあげとチンゲンサイのみそいため,チキンコンソメ,0.6
18,2/1/2023,あつあげとチンゲンサイのみそいため,濃口しょうゆ,2
19,2/1/2023,あつあげとチンゲンサイのみそいため,赤みそ,3
20,2/1/2023,あつあげとチンゲンサイのみそいため,豆板醤,0.03
21,2/1/2023,あつあげとチンゲンサイのみそいため,でんぷん,0.7
22,2/1/2023,あつあげとチンゲンサイのみそいため,水,20
23,2/1/2023,かきたま汁,鶏卵,20
24,2/1/2023,かきたま汁,玉葱,30
25,2/1/2023,かきたま汁,人参,7
26,2/1/2023,かきたま汁,中ねぎ,5
27,2/1/2023,かきたま汁,干ししいたけ（スライス）,1
28,2/1/2023,かきたま汁,濃口しょうゆ,1
29,2/1/2023,かきたま汁,食塩,0.5
30,2/1/2023,かきたま汁,でんぷん,0.5
31,2/1/2023,かきたま汁,削り節　だし用,4
32,2/1/2023,かきたま汁,出し昆布,1
33,2/1/2023,かきたま汁,水,130
34,2/2/2023,麦ごはん,精白米（委託）,70
35,2/2/2023,麦ごはん,米粒麦　委託　,7
36,2/2/2023,牛乳,牛乳,206
37,2/2/2023,さけザンギ,（冷）鮭2㎝角切・骨なし,40
38,2/2/2023,さけザンギ,生姜,0.7
39,2/2/2023,さけザンギ,にんにく　,0.3
40,2/2/2023,さけザンギ,清酒,1
41,2/2/2023,さけザンギ,濃口しょうゆ,2
42,2/2/2023,さけザンギ,食塩,0.1
43,2/2/2023,さけザンギ,米粉,3
44,2/2/2023,さけザンギ,でんぷん,3
45,2/2/2023,さけザンギ,炒り白ごま,3
46,2/2/2023,さけザンギ,なたね油,4
47,2/2/2023,こんぶあえ,（缶）ホールコーン,7
48,2/2/2023,こんぶあえ,キャベツ,30
49,2/2/2023,こんぶあえ,小松菜,20
50,2/2/2023,こんぶあえ,（乾）刻み昆布,0.7
51,2/2/2023,こんぶあえ,濃口しょうゆ,2.3
52,2/2/2023,こんぶあえ,ポン酢,0.8
53,2/2/2023,こんぶあえ,上白糖,0.7
54,2/2/2023,いももち汁,（冷）いももち,25
55,2/2/2023,いももち汁,油揚げ,5
56,2/2/2023,いももち汁,大根,20
57,2/2/2023,いももち汁,人参,7
58,2/2/2023,いももち汁,太ねぎ,5
59,2/2/2023,いももち汁,食塩,0.6
60,2/2/2023,いももち汁,濃口しょうゆ,0.6
61,2/2/2023,いももち汁,清酒,1
62,2/2/2023,いももち汁,みりん,0.5
63,2/2/2023,いももち汁,削り節　だし用,4
64,2/2/2023,いももち汁,出し昆布,1
65,2/2/2023,いももち汁,水,120
66,2/3/2023,黒糖パン,黒糖パン,60
67,2/3/2023,黒糖パン,粉黒糖,9
68,2/3/2023,牛乳,牛乳,206
69,2/3/2023,さぬきのチャウダー,鶏肉胸・皮なし（2×2㎝）,12
70,2/3/2023,さぬきのチャウダー,鶏肉もも・皮なし（2×2㎝）,8
71,2/3/2023,さぬきのチャウダー,白ぶどう酒,1
72,2/3/2023,さぬきのチャウダー,エリンギ（カット）,5
73,2/3/2023,さぬきのチャウダー,さつまいも（2㎝角）,20
74,2/3/2023,さぬきのチャウダー,じゃがいも,15
75,2/3/2023,さぬきのチャウダー,玉葱,30
76,2/3/2023,さぬきのチャウダー,レタス　,15
77,2/3/2023,さぬきのチャウダー,金時人参,7
78,2/3/2023,さぬきのチャウダー,ふしめん　,5
79,2/3/2023,さぬきのチャウダー,パセリ,0.5
80,2/3/2023,さぬきのチャウダー,サラダ油,1
81,2/3/2023,さぬきのチャウダー,小麦粉,3
82,2/3/2023,さぬきのチャウダー,バター,1
83,2/3/2023,さぬきのチャウダー,サラダ油,1
84,2/3/2023,さぬきのチャウダー,（レト）がらスープ,4
85,2/3/2023,さぬきのチャウダー,食塩,0.3
86,2/3/2023,さぬきのチャウダー,こしょう,0.05
87,2/3/2023,さぬきのチャウダー,チキンコンソメ,0.5
88,2/3/2023,さぬきのチャウダー,調理用牛乳,30
89,2/3/2023,さぬきのチャウダー,粉チーズ,3
90,2/3/2023,さぬきのチャウダー,水,60
91,2/3/2023,菜の花サラダ,ロースハム（短冊）卵抜き,5
92,2/3/2023,菜の花サラダ,キャベツ,25
93,2/3/2023,菜の花サラダ,菜の花,20
94,2/3/2023,菜の花サラダ,（缶）ホールコーン,10
95,2/3/2023,菜の花サラダ,食酢,2
96,2/3/2023,菜の花サラダ,サラダ油,2
97,2/3/2023,菜の花サラダ,上白糖,0.5
98,2/3/2023,菜の花サラダ,食塩,0.2
99,2/3/2023,菜の花サラダ,こしょう,0.02
100,2/6/2023,麦ごはん,精白米（委託）,70
101,2/6/2023,麦ごはん,米粒麦　委託　,7
102,2/6/2023,牛乳,牛乳,206
103,2/6/2023,マーボーどうふ,豚肉赤身ミンチ,25
104,2/6/2023,マーボーどうふ,清酒,1
105,2/6/2023,マーボーどうふ,（冷）豆腐（カット）,80
106,2/6/2023,マーボーどうふ,玉葱,35
107,2/6/2023,マーボーどうふ,人参,15
108,2/6/2023,マーボーどうふ,干ししいたけ（スライス）,1
109,2/6/2023,マーボーどうふ,中ねぎ,5
110,2/6/2023,マーボーどうふ,生姜,1
111,2/6/2023,マーボーどうふ,にんにく　,0.8
112,2/6/2023,マーボーどうふ,サラダ油,1
113,2/6/2023,マーボーどうふ,トマトケチャップ　,7
114,2/6/2023,マーボーどうふ,濃口しょうゆ,3.5
115,2/6/2023,マーボーどうふ,（レト）がらスープ,3
116,2/6/2023,マーボーどうふ,赤みそ,2
117,2/6/2023,マーボーどうふ,清酒,1
118,2/6/2023,マーボーどうふ,三温糖,0.5
119,2/6/2023,マーボーどうふ,チキンコンソメ,0.5
120,2/6/2023,マーボーどうふ,食塩,0.1
121,2/6/2023,マーボーどうふ,豆板醤,0.1
122,2/6/2023,マーボーどうふ,でんぷん,1
123,2/6/2023,マーボーどうふ,ごま油,0.1
124,2/6/2023,マーボーどうふ,水,35
125,2/6/2023,はるさめサラダ,ロースハム（短冊）卵抜き,7
126,2/6/2023,はるさめサラダ,春雨（8～10㎝）,5
127,2/6/2023,はるさめサラダ,もやし,25
128,2/6/2023,はるさめサラダ,小松菜,10
129,2/6/2023,はるさめサラダ,人参,10
130,2/6/2023,はるさめサラダ,炒り白ごま,1.5
131,2/6/2023,はるさめサラダ,濃口しょうゆ,2.5
132,2/6/2023,はるさめサラダ,食酢,2
133,2/6/2023,はるさめサラダ,上白糖,1.5
134,2/6/2023,はるさめサラダ,ごま油,1
135,2/6/2023,はるさめサラダ,からし粉,0.05
136,2/6/2023,ぽんかん,ぽんかん,100
137,2/7/2023,ガーリックピラフ（麦入り）,精白米（自校）,59
138,2/7/2023,ガーリックピラフ（麦入り）,米粒麦　自校,6
139,2/7/2023,ガーリックピラフ（麦入り）,鉄強化米,0.3
140,2/7/2023,ガーリックピラフ（麦入り）,(冷)鶏肉胸・皮なし(1×1㎝),12
141,2/7/2023,ガーリックピラフ（麦入り）,(冷)鶏肉もも・皮なし(1×1㎝),8
142,2/7/2023,ガーリックピラフ（麦入り）,白ぶどう酒,1
143,2/7/2023,ガーリックピラフ（麦入り）,ベーコン（短冊）,5
144,2/7/2023,ガーリックピラフ（麦入り）,玉葱,15
145,2/7/2023,ガーリックピラフ（麦入り）,人参,5
146,2/7/2023,ガーリックピラフ（麦入り）,エリンギ（カット）,5
147,2/7/2023,ガーリックピラフ（麦入り）,（冷）むき枝豆　,5
148,2/7/2023,ガーリックピラフ（麦入り）,にんにく　,1
149,2/7/2023,ガーリックピラフ（麦入り）,サラダ油,1.4
150,2/7/2023,ガーリックピラフ（麦入り）,チキンコンソメ,0.7
151,2/7/2023,ガーリックピラフ（麦入り）,食塩,0.8
152,2/7/2023,ガーリックピラフ（麦入り）,こしょう,0.03
153,2/7/2023,牛乳,牛乳,206
154,2/7/2023,粉雪チーズサラダ,カッテージチーズ,7
155,2/7/2023,粉雪チーズサラダ,ブロッコリー（カット）,25
156,2/7/2023,粉雪チーズサラダ,キャベツ,20
157,2/7/2023,粉雪チーズサラダ,（缶）ホールコーン,5
158,2/7/2023,粉雪チーズサラダ,食酢,2
159,2/7/2023,粉雪チーズサラダ,サラダ油,1.3
160,2/7/2023,粉雪チーズサラダ,上白糖,0.5
161,2/7/2023,粉雪チーズサラダ,食塩,0.2
162,2/7/2023,粉雪チーズサラダ,こしょう,0.02
163,2/7/2023,ミネストローネ,ベーコン（短冊）,5
164,2/7/2023,ミネストローネ,（冷）白いんげん豆,18
165,2/7/2023,ミネストローネ,玉葱,40
166,2/7/2023,ミネストローネ,人参,10
167,2/7/2023,ミネストローネ,セロリ,2
168,2/7/2023,ミネストローネ,パセリ,0.5
169,2/7/2023,ミネストローネ,サラダ油,0.5
170,2/7/2023,ミネストローネ,トマト水煮,8
171,2/7/2023,ミネストローネ,（レト）がらスープ,4
172,2/7/2023,ミネストローネ,赤ぶどう酒,1
173,2/7/2023,ミネストローネ,食塩,0.6
174,2/7/2023,ミネストローネ,こしょう,0.03
175,2/7/2023,ミネストローネ,チキンコンソメ,0.5
176,2/7/2023,ミネストローネ,ローリエ,0.1
177,2/7/2023,ミネストローネ,水,120
178,2/7/2023,チョコタルト,（個）チョコタルト,30
179,2/8/2023,冬野菜カレーライス（麦ごはん）,精白米（委託）,70
180,2/8/2023,冬野菜カレーライス（麦ごはん）,米粒麦　委託　,7
181,2/8/2023,冬野菜カレーライス（麦ごはん）,豚肉赤身（2×3㎝スライス）,25
182,2/8/2023,冬野菜カレーライス（麦ごはん）,玉葱,40
