#LINK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#lang,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#attribution_name,高松市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#file_name,0066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#property,prefCode,regionCode,prefName,cityName,surveyDate,regionName,totalPopulation,male,woman,man1,woman1,man2,woman2,man3,woman3,man4,woman4,man5,woman5,man6,woman6,man7,woman7,man8,woman8,man9,woman9,man10,woman10,man11,woman11,man12,woman12,man13,woman13,man14,woman14,man15,woman15,man16,woman16,man17,woman17,man18,woman18,numberOfHouseholds,note,location
#object_type_xsd,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion
1,37201,,香川県,高松市,1/1/2023,塩屋町,213,94,119,2,3,2,2,4,3,2,3,5,4,8,8,4,4,3,5,8,4,10,13,11,15,9,4,8,7,4,9,7,10,4,8,1,5,2,12,134,,"34.342286,134.055021"
2,37201,,香川県,高松市,1/1/2023,築地町,692,316,376,11,12,8,14,8,11,10,8,16,16,21,25,15,15,15,20,21,18,21,29,27,29,27,22,22,22,23,25,24,29,25,27,10,26,12,28,415,,"34.341274,134.056839"
3,37201,,香川県,高松市,1/1/2023,塩上町,123,64,59,2,2,2,1,1,0,0,0,3,2,17,5,8,3,2,5,1,2,7,5,1,2,4,4,2,1,3,2,2,3,4,7,0,8,5,7,84,,"34.335876,134.052375"
4,37201,,香川県,高松市,1/1/2023,塩上町１丁目,187,101,86,0,0,1,2,2,1,2,0,6,4,4,2,5,1,7,2,9,0,6,4,9,8,4,6,6,4,3,8,8,8,13,12,8,10,8,14,131,,"34.338200,134.053646"
5,37201,,香川県,高松市,1/1/2023,塩上町２丁目,693,335,358,5,5,5,8,9,5,11,11,25,22,25,25,15,9,14,14,22,17,36,33,29,30,29,23,26,22,24,30,18,26,22,22,9,24,11,32,451,,"34.338544,134.055472"
6,37201,,香川県,高松市,1/1/2023,塩上町３丁目,619,303,316,12,13,11,9,16,12,12,9,14,12,20,20,12,11,23,21,21,20,30,28,16,16,18,18,16,12,13,22,29,31,20,26,9,15,11,21,356,,"34.339112,134.057533"
7,37201,,香川県,高松市,1/1/2023,八坂町,77,34,43,3,1,1,2,0,1,1,2,0,1,1,3,2,1,1,0,4,4,2,2,0,1,2,3,2,2,1,2,4,4,0,5,4,5,6,4,45,,"34.339782,134.053748"
8,37201,,香川県,高松市,1/1/2023,福田町,234,102,132,2,1,3,3,5,3,8,6,4,4,6,2,1,2,5,5,3,13,8,10,6,7,6,6,12,12,7,8,8,15,7,6,7,8,4,21,132,,"34.341477,134.053890"
9,37201,,香川県,高松市,1/1/2023,常磐町１丁目,126,56,70,1,3,4,2,0,3,1,3,2,4,5,3,0,1,3,5,6,5,8,7,3,3,5,3,7,9,1,2,4,6,4,2,0,3,2,6,72,,"34.338740,134.051256"
10,37201,,香川県,高松市,1/1/2023,常磐町２丁目,248,134,114,0,2,2,2,2,2,1,1,14,8,18,8,7,4,6,3,11,4,4,6,11,6,11,11,11,6,7,4,10,12,4,5,6,11,9,19,177,,"34.337613,134.051101"
11,37201,,香川県,高松市,1/1/2023,瓦町１丁目,181,97,84,0,1,2,2,4,2,5,3,3,4,7,3,4,5,2,2,5,1,7,8,8,6,12,6,8,3,4,7,10,7,6,8,7,6,3,10,123,,"34.341325,134.051585"
12,37201,,香川県,高松市,1/1/2023,瓦町２丁目,260,116,144,1,0,3,2,2,3,3,4,5,5,7,7,3,8,6,2,6,5,6,14,9,9,9,4,11,10,7,9,15,26,11,11,4,9,8,16,167,,"34.339954,134.051305"
13,37201,,香川県,高松市,1/1/2023,古馬場町,173,90,83,0,0,0,0,2,1,2,0,4,2,3,2,10,1,2,0,3,3,11,3,6,4,4,8,6,3,8,7,10,8,7,8,3,7,9,26,126,,"34.342517,134.051924"
14,37201,,香川県,高松市,1/1/2023,御坊町,127,64,63,0,3,1,1,4,1,5,1,2,0,3,3,3,1,4,2,3,2,6,6,5,7,8,5,4,2,2,4,5,6,4,5,0,7,5,7,62,,"34.343378,134.052548"
15,37201,,香川県,高松市,1/1/2023,今新町,117,54,63,1,0,3,0,0,2,1,0,2,2,3,2,0,2,2,1,3,2,6,3,5,6,6,4,2,3,2,4,7,10,3,2,2,6,6,14,78,,"34.343979,134.052660"
