#LINK,,,,
#lang,ja,,,
#attribution_name,高松市,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,
#file_name,0084,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/menu_Information,,,
#property,lunchDay,menuName,foodName,quantity
#object_type_xsd,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion
1,12/1/2021,深川めし（麦入り）,精白米（自校）,59
2,12/1/2021,深川めし（麦入り）,米粒麦　自校,6
3,12/1/2021,深川めし（麦入り）,（冷）あさりむき身,15
4,12/1/2021,深川めし（麦入り）,生姜,1.3
5,12/1/2021,深川めし（麦入り）,清酒,2
6,12/1/2021,深川めし（麦入り）,洗いごぼう,7
7,12/1/2021,深川めし（麦入り）,人参,5
8,12/1/2021,深川めし（麦入り）,油揚げ,4
9,12/1/2021,深川めし（麦入り）,（冷）むき枝豆　１㎏,5
10,12/1/2021,深川めし（麦入り）,サラダ油,1
11,12/1/2021,深川めし（麦入り）,清酒,0.5
12,12/1/2021,深川めし（麦入り）,しょうゆ,3
13,12/1/2021,深川めし（麦入り）,上白糖,1.1
14,12/1/2021,深川めし（麦入り）,食塩,0.5
15,12/1/2021,牛乳,牛乳,206
16,12/1/2021,かんぴょうの和え物,ロースハム（短冊）卵抜き,5
17,12/1/2021,かんぴょうの和え物,（乾）かんぴょう（２㎝）,6
18,12/1/2021,かんぴょうの和え物,きゅうり,15
19,12/1/2021,かんぴょうの和え物,人参,5
20,12/1/2021,かんぴょうの和え物,（乾）刻み昆布,0.8
21,12/1/2021,かんぴょうの和え物,しょうゆ,2.7
22,12/1/2021,かんぴょうの和え物,食酢,2.2
23,12/1/2021,かんぴょうの和え物,ごま油,1
24,12/1/2021,かんぴょうの和え物,上白糖,1.2
25,12/1/2021,かんぴょうの和え物,炒り白ごま,0.5
26,12/1/2021,白玉雑煮,鶏肉　胸・皮なし（１×１㎝）,9
27,12/1/2021,白玉雑煮,鶏肉　もも・皮なし（１×１㎝）,6
28,12/1/2021,白玉雑煮,（冷）白玉,25
29,12/1/2021,白玉雑煮,なると（３㎜）,5
30,12/1/2021,白玉雑煮,大根,25
31,12/1/2021,白玉雑煮,人参,7
32,12/1/2021,白玉雑煮,小松菜,7
33,12/1/2021,白玉雑煮,しょうゆ,2
34,12/1/2021,白玉雑煮,みりん,1
35,12/1/2021,白玉雑煮,食塩,0.35
36,12/1/2021,白玉雑煮,削り節　だし用,4
