#LINK,,,,
#lang,ja,,,
#attribution_name,高松市,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,
#file_name,0084,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/menu_Information,,,
#property,lunchDay,menuName,foodName,quantity
#object_type_xsd,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion
1,11/1/2022,麦ごはん,精白米（委託）,70
2,11/1/2022,麦ごはん,米粒麦　委託　,7
3,11/1/2022,牛乳,牛乳,206
4,11/1/2022,はまちの照り焼き風,（冷）はまち,50
5,11/1/2022,はまちの照り焼き風,清酒,2
6,11/1/2022,はまちの照り焼き風,食塩,0.15
7,11/1/2022,はまちの照り焼き風,でんぷん,7
8,11/1/2022,はまちの照り焼き風,なたね油,4
9,11/1/2022,はまちの照り焼き風,濃口しょうゆ,2.8
10,11/1/2022,はまちの照り焼き風,三温糖,1.7
11,11/1/2022,はまちの照り焼き風,みりん,1.2
12,11/1/2022,はまちの照り焼き風,でんぷん,0.3
13,11/1/2022,はまちの照り焼き風,湯,9
14,11/1/2022,ブロッコリーのおかかあえ,キャベツ,30
15,11/1/2022,ブロッコリーのおかかあえ,ブロッコリー（カット）,15
16,11/1/2022,ブロッコリーのおかかあえ,人参,7
17,11/1/2022,ブロッコリーのおかかあえ,花かつお,0.8
18,11/1/2022,ブロッコリーのおかかあえ,濃口しょうゆ,2
19,11/1/2022,ブロッコリーのおかかあえ,食酢,1.5
20,11/1/2022,ブロッコリーのおかかあえ,上白糖,1
21,11/1/2022,ブロッコリーのおかかあえ,サラダ油,1
22,11/1/2022,ふしめん汁,型抜きかまぼこ（紅葉）,6
23,11/1/2022,ふしめん汁,ふしめん　,6
24,11/1/2022,ふしめん汁,玉葱,25
25,11/1/2022,ふしめん汁,人参,5
26,11/1/2022,ふしめん汁,中ねぎ,5
27,11/1/2022,ふしめん汁,生しいたけ（スライス）,5
28,11/1/2022,ふしめん汁,濃口しょうゆ,0.6
29,11/1/2022,ふしめん汁,食塩,0.4
30,11/1/2022,ふしめん汁,削り節　だし用,5
31,11/1/2022,ふしめん汁,湯,140
32,11/2/2022,黒米ごはん,精白米（自校）,70
33,11/2/2022,黒米ごはん,黒米,2
34,11/2/2022,黒米ごはん,もち米,10
35,11/2/2022,黒米ごはん,食塩,0.65
36,11/2/2022,牛乳,牛乳,206
37,11/2/2022,ちくぜん煮,鶏肉　胸・皮なし（2×2㎝）,18
