#LINK,,,,
#lang,ja,,,
#attribution_name,高松市,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,
#file_name,0084,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/menu_Information,,,
#property,lunchDay,menuName,foodName,quantity
#object_type_xsd,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion
1,1/10/2023,年明け八菜うどん,（個）ゆでうどん袋入り,280
2,1/10/2023,年明け八菜うどん,豚肉赤身(3×3㎝スライス),20
3,1/10/2023,年明け八菜うどん,生姜,0.4
4,1/10/2023,年明け八菜うどん,清酒,1.5
5,1/10/2023,年明け八菜うどん,サラダ油,0.5
6,1/10/2023,年明け八菜うどん,型抜きかまぼこ（梅）,5
7,1/10/2023,年明け八菜うどん,白菜,25
8,1/10/2023,年明け八菜うどん,玉葱,25
9,1/10/2023,年明け八菜うどん,金時人参,10
10,1/10/2023,年明け八菜うどん,大根,15
11,1/10/2023,年明け八菜うどん,もやし,10
12,1/10/2023,年明け八菜うどん,生しいたけ（スライス）,5
13,1/10/2023,年明け八菜うどん,中ねぎ,5
14,1/10/2023,年明け八菜うどん,濃口しょうゆ,4
15,1/10/2023,年明け八菜うどん,みりん,1
16,1/10/2023,年明け八菜うどん,食塩,0.5
17,1/10/2023,年明け八菜うどん,でんぷん,2
18,1/10/2023,年明け八菜うどん,煮干し　だし用,5
19,1/10/2023,年明け八菜うどん,水,110
20,1/10/2023,牛乳,牛乳,206
21,1/10/2023,えび入り金時かきあげ,（冷）金時揚げ,40
22,1/10/2023,えび入り金時かきあげ,なたね油,4
23,1/10/2023,ゆでブロッコリー,ブロッコリー（カット）,25
24,1/10/2023,ゆでブロッコリー,ゆで塩,0.5
25,1/10/2023,みかんタルト,（個）みかんのタルト,35
26,1/11/2023,米粉パン,米粉パン,60
27,1/11/2023,牛乳,牛乳,206
28,1/11/2023,ポークビーンズ,豚肉赤身(3×3㎝スライス),30
29,1/11/2023,ポークビーンズ,（冷）大豆水煮,35
30,1/11/2023,ポークビーンズ,皮むきじゃがいも（2㎝）,45
31,1/11/2023,ポークビーンズ,玉葱,40
32,1/11/2023,ポークビーンズ,人参,10
33,1/11/2023,ポークビーンズ,パセリ,0.5
34,1/11/2023,ポークビーンズ,サラダ油,1
35,1/11/2023,ポークビーンズ,トマトピューレ,6
36,1/11/2023,ポークビーンズ,トマトケチャップ,3
37,1/11/2023,ポークビーンズ,上白糖,1.2
38,1/11/2023,ポークビーンズ,ウスターソース,0.7
39,1/11/2023,ポークビーンズ,チキンコンソメ,0.6
40,1/11/2023,ポークビーンズ,食塩,0.5
41,1/11/2023,ポークビーンズ,こしょう,0.05
42,1/11/2023,ポークビーンズ,湯,40
43,1/11/2023,カラフルサラダ,ブロッコリー（カット）,35
