#LINK,,,,
#lang,ja,,,
#attribution_name,高松市,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,
#file_name,0084,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/menu_Information,,,
#property,lunchDay,menuName,foodName,quantity
#object_type_xsd,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion
1,7/1/2022,たこめし（麦入り）,精白米（自校）,55
2,7/1/2022,たこめし（麦入り）,米粒麦　自校,5
3,7/1/2022,たこめし（麦入り）,鉄強化米,0.3
4,7/1/2022,たこめし（麦入り）,（冷）たこ（1㎝カット）,30
5,7/1/2022,たこめし（麦入り）,生姜,1
6,7/1/2022,たこめし（麦入り）,油揚げ,5
7,7/1/2022,たこめし（麦入り）,洗いごぼう,7
8,7/1/2022,たこめし（麦入り）,人参,5
9,7/1/2022,たこめし（麦入り）,（冷）むき枝豆,5
10,7/1/2022,たこめし（麦入り）,干ししいたけ（スライス）,0.8
11,7/1/2022,たこめし（麦入り）,サラダ油,1
12,7/1/2022,たこめし（麦入り）,濃口しょうゆ,3
13,7/1/2022,たこめし（麦入り）,清酒,2
14,7/1/2022,たこめし（麦入り）,上白糖,1
15,7/1/2022,たこめし（麦入り）,食塩,0.1
16,7/1/2022,たこめし（麦入り）,出し昆布,1
17,7/1/2022,牛乳,牛乳,206
18,7/1/2022,和風ドレッシングあえ,キャベツ,35
19,7/1/2022,和風ドレッシングあえ,きゅうり,25
20,7/1/2022,和風ドレッシングあえ,（個）和風ドレッシング,8
21,7/1/2022,うちこみ汁,油揚げ,5
22,7/1/2022,うちこみ汁,生うどん　さぬきの夢2009,15
23,7/1/2022,うちこみ汁,玉葱,15
24,7/1/2022,うちこみ汁,人参,8
25,7/1/2022,うちこみ汁,中ねぎ,5
26,7/1/2022,うちこみ汁,干ししいたけ（スライス）,1
27,7/1/2022,うちこみ汁,中みそ,5
28,7/1/2022,うちこみ汁,白みそ,4
29,7/1/2022,うちこみ汁,煮干し　だし用,4
30,7/1/2022,うちこみ汁,水,150
31,7/4/2022,ひじきごはん,精白米（自校）,60
32,7/4/2022,ひじきごはん,鉄強化米,0.3
33,7/4/2022,ひじきごはん,(冷)鶏肉胸・皮なし(1×1㎝),9
34,7/4/2022,ひじきごはん,(冷)鶏肉もも・皮なし(1×1㎝),6
35,7/4/2022,ひじきごはん,人参,6
36,7/4/2022,ひじきごはん,つきこんにゃく,6
37,7/4/2022,ひじきごはん,（冷）むき枝豆,4
38,7/4/2022,ひじきごはん,（乾）ひじき,0.9
39,7/4/2022,ひじきごはん,サラダ油,0.6
40,7/4/2022,ひじきごはん,濃口しょうゆ,2.2
41,7/4/2022,ひじきごはん,清酒,1.5
42,7/4/2022,ひじきごはん,上白糖,1.4
43,7/4/2022,ひじきごはん,食塩,0.6
44,7/4/2022,牛乳,牛乳,206
45,7/4/2022,そうめん汁,きゅうり,25
46,7/4/2022,そうめん汁,アスパラガス,15
47,7/4/2022,そうめん汁,（缶）ホールコーン,8
48,7/4/2022,そうめん汁,オクラ,7
49,7/4/2022,そうめん汁,（個）青じそドレッシング,8
50,7/4/2022,そうめん汁,型抜きかまぼこ（星）,8
51,7/4/2022,そうめん汁,油揚げ,7
52,7/4/2022,そうめん汁,玉葱,25
53,7/4/2022,そうめん汁,人参,10
54,7/4/2022,そうめん汁,中ねぎ,5
55,7/4/2022,そうめん汁,乾）そうめん,5
56,7/4/2022,そうめん汁,食塩,0.4
57,7/4/2022,そうめん汁,濃口しょうゆ,0.4
58,7/4/2022,そうめん汁,削り節　だし用,4
59,7/4/2022,そうめん汁,出し昆布,1
60,7/4/2022,そうめん汁,湯,125
61,7/4/2022,七夕ゼリー,（個）七夕ゼリー,50
62,7/5/2022,セルフハンバーガー(全粒粉パン),全粒粉パン　丸型,50
