"#property","latitude","longitude","name","address","telephoneNumber","referenceObject","note"
"75","34.34025111","134.07598139","木太新開公園","高松市木太町2415-5",,,
"76","34.31084639","134.06178806","伏石東公園","高松市松縄町1141",,,
"77","34.3070825","134.05381333","居石ふれあい公園","高松市伏石町2175",,,
"78","34.30624083","134.05828722","多肥北公園","高松市多肥下町1502",,,
"79","34.30004778","134.05699222","多肥南公園","高松市多肥下町1566",,,
"80","34.30538833","134.06262389","三軒屋公園","高松市伏石町2156",,,
"81","34.30379222","134.06898611","天皇公園","高松市林町2555",,,
"82","34.31620139","134.0602775","松縄下所公園","高松市松縄町1120-1",,,
"83","34.31770444","134.06855778","下西原公園","高松市木太町5012",,,
"84","34.31925389","134.05668667","伏石北公園","高松市伏石町2023",,,
"85","34.31850667","134.06490833","松縄天満公園","高松市松縄町1072",,,
"86","34.31393222","134.068495","木太宮前公園","高松市木太町5043",,,
"87","34.31123444","134.05769861","伏石立石公園","高松市伏石町2098",,,
"88","34.30964278","134.05466917","伏石南公園","高松市伏石町2127",,,
"89","34.31078583","134.06613111","平塚公園","高松市木太町5106",,,
"90","34.30002222","134.0525","多肥西公園","高松市多肥下町1574",,,
"91","34.34903333","134.01291472","乾船入南公園","高松市郷東町990",,,
"92","34.34977472","134.01323028","乾船入北公園","高松市郷東町992",,,
"93","34.34982972","134.01706611","郷東町新地北公園","高松市郷東町587-21",,,
"94","34.34861444","134.01891083","郷東町新地東公園","高松市郷東町655-1",,,
"95","34.34483583","134.07054806","福岡三丁目公園","高松市福岡町三丁目379-12",,,
"96","34.31725528","133.99683444","半田公園","高松市飯田町267-1",,,
"97","34.3208475","133.99990917","小坂公園","高松市飯田町643-1",,,
"98","34.30298056","134.03298139","鹿角公園","高松市鹿角町250-1",,,
"99","34.32054417","134.00578028","青木公園","高松市飯田町1219-1",,,
"100","34.33299833","134.05972778","花園ふれあい公園","高松市花園町二丁目1307-1",,,
"101","34.35065667","134.04207028","大的場公園","高松市浜ノ町75",,,
"102","34.34959361","134.04415528","錦町公園","高松市錦町一丁目22-4",,,
"103","34.27090778","134.10594","十川ふれあい公園","高松市十川西町613-1",,,
"104","34.28339472","134.08713639","由良川東公園","高松市由良町369-1",,,
"105","34.27725194","134.08583472","川島中央公園","高松市川島本町117-36",,,
"106","34.33933611","134.05701722","塩上三丁目公園","高松市塩上町三丁目9-3",,,
"107","34.36361639","133.96822778","生島ふれあい公園","高松市生島町689-16",,,
"108","34.34516583","134.13526472","岡の山公園","高松市牟礼町牟礼1300-2",,,
"109","34.34647694","134.1205975","浜西公園","高松市牟礼町牟礼2587-5",,,
"110","34.34186639","134.15369861","川西公園","高松市牟礼町大町446-15",,,
"111","34.32783389","134.16364111","原児童公園","高松市牟礼町原364-20",,,
"112","34.34047667","134.14135611","野上公園","高松市牟礼町牟礼89-1",,,
"113","34.30059278","133.9587775","新居児童公園","高松市国分寺町新居1480-2",,,
"114","34.26689667","133.99631361","岡本公園","高松市岡本町531‐3",,,
"116","34.30438389","134.10580722","前田勘定公園","高松市前田西町859-29",,,
"117","34.29761472","134.05982444","多肥日暮小公園","高松市多肥上町1361-32",,,
"118","34.34655028","134.0874525","屋島西町子の浜公園","高松市屋島西町2107-10",,,
"119","34.34355361","133.99380083","香西立石公園","高松市香西西町110‐2",,,
"120","34.34771083","134.06303083","朝日町公園","高松市朝日町一丁目534‐10",,,
"121","34.34046194","134.08862083","片田公園","高松市春日町1761",,,
"122","34.29900833","134.07009583","林公園","高松市林町1146-2",,,
"123","34.32514667","134.05552722","今里公園","高松市今里町410-1",,,
"124","34.31796194","133.98714778","鬼無山辺小公園","高松市鬼無町鬼無765-3",,,
"125","34.33694861","134.09386556","片田第二公園","高松市春日町1734-45",,,
"126","34.34002861","134.12041056","津之町第二公園","高松市高松町2039-46",,,
"127","34.29066194","134.05092639","多肥さくら公園","高松市多肥上町434-3",,,
"128","34.2913075","134.05447944","多肥上町小公園","高松市多肥上町881",,,
"129","34.39294556","134.0542275","女木公園","高松市女木町426-2",,,
"130","34.35240361","134.11803389","檀ノ浦第一公園","高松市屋島東町1095-224",,,
"131","34.35581111","134.11851389","檀ノ浦第二公園","高松市屋島東町1095-220",,,
"132","34.355515","134.1166725","檀ノ浦第三公園","高松市屋島東町1095-227",,,
"133","34.3558125","134.11666444","檀ノ浦第四公園","高松市屋島東町1095-226",,,
"134","34.35795806","134.11777778","檀ノ浦第五公園","高松市屋島東町515-249",,,
"135","34.35930472","134.11900972","檀ノ浦第六公園","高松市屋島東町515-379",,,
"136","34.35012111","134.03764667","浜ノ町公園","高松市浜ノ町316-2",,,
"137","34.303405","133.991535","津内山公園","高松市御厩町705-15",,,
"138","34.34713472","134.0280225","西町小公園","高松市西町840-148",,,
"139","34.27202361","134.02673028","寺井阿庄公園","高松市寺井町925-31",,,
"140","34.28221111","134.02240111","寺井下川原公園","高松市寺井町1390-4",,,
"141","34.31876472","134.11601778","新田さつきヶ丘公園","高松市新田町乙11-72",,,
"142","34.32310778","134.09424889","春日中央公園","高松市春日町516",,,
"143","34.18875139","134.05931611","鮎っ子広場公園","高松市塩江町安原下第１号858‐1",,,
"144","34.18515861","134.0423625","安原西谷団地公園","高松市塩江町安原下第2号88-1",,,
"145","34.18231944","134.08599444","不動の滝公園","高松市塩江町安原上東2483-46",,,
"146","34.1541275","134.07593361","内場ダム上公園","高松市塩江町上西字内場乙（内場池内）",,,
"147","34.16821389","134.07561056","内場ダム下公園","高松市塩江町安原上東131",,,
"148","34.32373333","134.16339722","牟礼原ｸﾘｰﾝﾊｲﾂ西公園","高松市牟礼町原56-198",,,
"149","34.32388389","134.16470278","牟礼原ｸﾘｰﾝﾊｲﾂ東公園","高松市牟礼町原56-187",,,
"150","34.334195","134.14296889","牟礼玉藻台公園","高松市牟礼町大町1415-174",,,
"151","34.3335525","134.14169778","牟礼自由ヶ丘北公園","高松市牟礼町大町1598-2",,,
"152","34.33284972","134.14207806","牟礼自由ヶ丘南公園","高松市牟礼町大町1602-49",,,
"153","34.33396278","134.13965528","牟礼大町朝日団地公園","高松市牟礼町大町1638-13",,,
"154","34.33409889","134.13731861","牟礼桜ヶ丘公園","高松市牟礼町大町2092-65",,,
"155","34.33491556","134.13782278","牟礼つくしの団地公園","高松市牟礼町大町2120-6",,,
"156","34.33743028","134.13480806","牟礼堀越団地上公園","高松市牟礼町牟礼366-4",,,
"157","34.34070028","134.13224","牟礼薬師団地公園","高松市牟礼町牟礼495-1",,,
"158","34.34146389","134.12303194","屋島みどりヶ丘東公園","高松市牟礼町牟礼2310-81",,,
"159","34.34150972","134.12356917","屋島みどりヶ丘西公園","高松市牟礼町牟礼2310-44",,,
"160","34.34825389","134.140655","新八栗台東公園","高松市牟礼町牟礼1630-7",,,
"161","34.34788806","134.13835278","新八栗台西公園","高松市牟礼町牟礼1379-6",,,
"162","34.34523444","134.13344778","牟礼六万寺台団地公園","高松市牟礼町牟礼1270-27",,,
"163","34.3467425","134.1203325","牟礼浜西朝日ヶ丘公園","高松市牟礼町牟礼2588-49",,,
"164","34.349085","134.12163972","牟礼浜北朝日ヶ丘公園","高松市牟礼町牟礼2596-9",,,
"165","34.35400778","134.1218325","牟礼久通り西団地南公園","高松市牟礼町牟礼3720-211",,,
"166","34.3554575","134.12070861","牟礼久通り西団地中公園","高松市牟礼町牟礼3720-324",,,
"167","34.34987889","134.13711028","牟礼日東八栗台第一公園","高松市牟礼町牟礼1675-2",,,
"168","34.34737667","134.13920528","牟礼日東八栗台第二公園","高松市牟礼町牟礼1391-18",,,
"169","34.33643111","134.12326556","牟礼白竜公園","高松市牟礼町牟礼678-134",,,
"170","34.34543361","134.15294611","大町ｸﾘｰﾝﾊｲﾂ公園","高松市牟礼町大町2346-46",,,
"171","34.33461","134.15078","ｸﾞﾘｰﾝﾋﾙ大町公園","高松市牟礼町大町1201-9",,,
"172","34.34030444","134.14974528","公社牟礼団地南公園","高松市牟礼町大町500-4",,,
"173","34.34236889","134.15158472","公社牟礼団地北公園","高松市牟礼町大町501-10",,,
"174","34.35425444","134.12629111","牟礼宮北公園","高松市牟礼町牟礼2784-7",,,
"175","34.33744972","134.13888972","八栗口南公園","高松市牟礼町牟礼286-11",,,
"176","34.35691194","134.12134944","牟礼久通り西団地北公園","高松市牟礼町牟礼3720-499",,,
"177","34.33779972","134.12644611","牟礼源平台第一公園","高松市牟礼町牟礼660-6",,,
"178","34.33877667","134.12732972","牟礼源平台第二公園","高松市牟礼町牟礼660-59",,,
"179","34.35432889","134.12558944","山椒山公園","高松市牟礼町牟礼2778-28",,,
"180","34.33922889","134.15435833","牟礼川東公園","高松市牟礼町大町978-18",,,
"181","34.34151083","134.13412306","パーク六万寺公園","高松市牟礼町牟礼1141-1",,,
"182","34.39003667","134.13233","庵治朝日児童公園","高松市庵治町1256-1",,,
"183","34.36499917","134.15532194","庵治高尻児童公園","高松市庵治町3003-2",,,
"184","34.38591778","134.13309167","庵治交通ミニ公園","高松市庵治町826-1",,,
"185","34.38066417","134.12376306","庵治城岬公園","高松市庵治町6392-91",,,
"186","34.3731625","134.12271333","庵治丸山親水公園","高松市庵治町156-73",,,
"187","34.38754333","134.12973778","庵治浜公園","高松市庵治町948-1",,,
"188","34.39134667","134.1516225","庵治鎌野公園","高松市庵治町4511-7",,,
"189","34.23304","134.04682306","川内原第一南公園","高松市香川町川内原310-10",,,
"190","34.23615667","134.04636083","川内原第一北公園","高松市香川町川内原261-8",,,
"191","34.24167944","134.00722222","月見ヶ原公園","高松市香南町横井796-1",,,
"192","34.29459111","133.95411056","国分寺西原姫池公園","高松市国分寺町新名259-18",,,
"193","34.30352111","133.9648475","国分寺はしおか若葉公園","高松市国分寺町新名1610-2",,,
"194","34.29676222","133.96684611","国分寺万灯ｸﾞﾘｰﾝ団地公園","高松市国分寺町新居947-16",,,
"195","34.27153194","133.97285167","国分寺はざま団地公園","高松市国分寺町福家甲1057-12",,,
"196","34.28723806","133.96275306","国分寺古宮公園","高松市国分寺町福家甲3205-9",,,
"197","34.3026425","133.97096444","国分寺新居本村南公園","高松市国分寺町新居301-8",,,
"198","34.2803725","134.00424333","円座団地公園","高松市円座町1732-23",,,
"199","34.27180833","134.10306917","十川西団地公園","高松市十川西町521-15",,,
"200","34.27110361","134.01941694","大野ハイツ北公園","高松市香川町大野2059-3",,,
"201","34.27047417","134.01833444","大野ハイツ南公園","高松市香川町大野2059-39",,,
"202","34.27004028","134.02875111","香川ふなおか園","高松市香川町大野2566-3",,,
"203","34.27135917","134.03253917","浅野船岡西ハイツ公園","高松市香川町浅野170-6",,,
"204","34.26990722","134.03824472","浅野平池団地公園","高松市香川町浅野348-118",,,
"205","34.26806722","134.04158833","浅野新平池団地公園","高松市香川町浅野385-74",,,
"206","34.25722472","134.03921056","浅野八王子団地西公園","高松市香川町浅野2126-24",,,
"207","34.25683083","134.04225278","浅野八王子団地北公園","高松市香川町浅野2193-24",,,
"208","34.25530889","134.043645","浅野八王子団地南公園","高松市香川町浅野2233-59",,,
"209","34.25734556","134.04527139","浅野平池ｸﾞﾘｰﾝﾀｳﾝ東公園","高松市香川町浅野2280-12",,,
"210","34.25036444","134.05205722","浅野さかえ団地南公園","高松市香川町浅野2669-102",,,
"211","34.25209694","134.05261778","浅野さかえ団地北公園","高松市香川町浅野2710-26",,,
"212","34.26263194","134.04946389","浅野上実相寺公園","高松市香川町浅野3372-4",,,
"213","34.26053333","134.05203361","浅野団地公園","高松市香川町浅野3451-11",,,
"214","34.22628917","134.04088222","日生ﾆｭｰﾀｳﾝ南団地公園","高松市香川町川東上566-159",,,
"215","34.22736694","134.03781167","日生ﾆｭｰﾀｳﾝ西団地公園","高松市香川町川東上636-167",,,
"216","34.22942583","134.03898194","日生ﾆｭｰﾀｳﾝ北団地公園","高松市香川町川東上652-86",,,
"217","34.23709056","134.02948889","香川川東団地公園","高松市香川町川東下442-18",,,
"218","34.24155583","134.01808444","由佐中屋団地公園","高松市香南町由佐373-4",,,
"219","34.30679972","133.9595525","国分寺万福寺池団地公園","高松市国分寺町新居2041-2",,,
"220","34.27961778","133.96845278","北谷団地南公園","高松市国分寺町福家甲2518-7",,,
"221","34.27973667","133.96827472","北谷団地北公園","高松市国分寺町福家甲2518-8",,,
"222","34.27574083","133.96783667","国分寺福家本村公園","高松市国分寺町福家甲2406-8",,,
"223","34.28135778","133.962975","国分寺中福家中公園","高松市国分寺町福家甲2919-18",,,
"224","34.28893361","133.9577","国分寺中央団地公園","高松市国分寺町新名878-7",,,
"225","34.30591333","133.94610333","国分寺宮西公園","高松市国分寺町国分2213-18",,,
"226","34.27996306","133.96391583","国分寺中福家南公園","高松市国分寺町福家甲2813-7",,,
"227","34.26917528","133.96686444","羽間流通団地公園","高松市国分寺町福家乙299-1",,,
"228","34.28863583","133.96588333","国分寺楠井ｸﾞﾘｰﾝﾊｲﾂ公園","高松市国分寺町福家甲3675",,,
"229","34.38441583","134.12774972","庵治才田公園","高松市庵治町6389-34",,,
"230","34.33647278","134.13399556","牟礼紅葉台団地公園","高松市牟礼町牟礼376-72",,,
"231","34.24304444","134.03109667","香川かもじま東公園","高松市香川町川東下628-16",,,
"232","34.331275","134.11538","菱の池公園","高松市高松町1211-28",,,
"233","34.27980139","134.05591361","彦作池公園","高松市多肥上町2049-1",,,
"234","34.3340425","134.15809667","房前公園","高松市牟礼町原632",,,
"235","34.33416778","134.04168","宮脇中野町緑道","高松市中野町364-3",,,
"236","34.33297444","134.04323611","公北緑道","高松市中野町33-15",,,
"237","34.38063583","134.12484083","庵治緑道公園","高松市庵治町6392-16",,,
"238","34.34494","134.07480278","詰田川緑地","高松市福岡町三丁目",,,
"239","34.33968861","134.09372","新川記念広場","高松市春日町1731-1　地先",,,
"240","34.32900222","134.12461917","高松市東部運動公園","高松市高松町1350-4",,,
"241","34.33115472","134.0345525","紫雲公園","高松市宮脇町二丁目439-6",,,
"242","34.32530333","134.05862611","今里中央公園","高松市今里町一丁目20",,,
"243","34.30308417","134.06420222","長池中央公園","高松市林町2581-1","869-0758",,
"244","34.31416222","134.05503222","伏石中央公園","高松市伏石町2077",,,
"245","34.30446111","134.05483","太田中央公園","高松市多肥下町1512",,,
"246","34.32028556","134.058485","松縄流石中央公園","高松市松縄町1015",,,
"247","34.31567444","134.06570556","木太中央公園","高松市木太町5052",,,
"248","34.30894556","134.06463917","平塚中央公園","高松市木太町5092-1",,,
"249","34.33182556","134.1474425","牟礼中央公園","高松市牟礼町原1019-8",,,
"250","34.34749417","134.13416333","御山公園","高松市牟礼町牟礼1355-1","087-845-5585",,
"251","34.32982694","134.02650944","峰山公園","高松市峰山町1838-37","087-834-7297","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shisetsu/park/mineyamapark.html",
"252","34.27183306","134.04807","仏生山公園","高松市仏生山町甲2654-1","087-888-5010","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shisetsu/park/busshouzanpark.html",
"253","34.34164389","134.04675889","中央公園","高松市番町一丁目11",,"http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shisetsu/park/chuopark.html",
"254","34.27322778","133.95288167","橘ノ丘総合運動公園","高松市国分寺町新名2069-1","087-813-5045",,
"255","34.30820583","133.95243417","如意輪寺公園","高松市国分寺町国分2530-2","087-875-1221",,
"256","34.35726167","134.08757278","屋島緑道","高松市屋島西町2327",,,
"257","34.34731278","134.07805278","木太海浜緑地","高松市木太町4583-9",,,
"258","34.34416444","134.0865025","新浜緑地","高松市屋島西町2374-1",,,
"259","34.35331972","134.03059722","瀬戸内海浜緑地","高松市瀬戸内町509-8",,,
"260","34.35884528","134.064745","朝日新町西緑地","高松市朝日新町1-14",,,
"261","34.35840861","134.06872639","朝日新町東緑地","高松市朝日新町1-13",,,
"262","34.34899861","134.03719306","瀬戸内緑地","高松市瀬戸内町524-1",,,
"263","34.34082944","134.10715139","相引川緑地","高松市屋島中町221-7",,,
"264","34.34981306","134.12159139","浜北緑地公園","高松市牟礼町牟礼2515-6",,,
"265","34.34530944","134.05957806","新橋緑地","高松市福岡町一丁目473-86",,,
"266","34.28203778","134.02122667","一宮新開緑地","高松市一宮町1914-46",,,
"267","34.34807583","134.02176583","茜町緑地","高松市茜町787-7",,,
"268","34.34577306","134.00987278","香西東町緑地","高松市香西東町573",,,
"269","34.34513333","134.05858556","杣場川緑道","高松市松福町一丁目1-103",,,
"270","34.35268972","134.08928472","屋島緑地","高松市屋島西町2341",,,
"271","34.30290694","133.97201806","本津川緑道","高松市国分寺町新居301-1",,,
"272","34.35013667","134.05163889","玉藻公園","高松市玉藻町2-1","087-851-1521","http://www.takamatsujyo.com/","【入園料】大人（16～64歳）：200円　こども（6～15歳）：100円、【休園日】12月29日～31日、【開園時間】およそ日の出から日没まで。季節によって異なる。HP参照のこと。"
"273","34.349367","134.024868","茜町小公園","高松市茜町836-274",,,
"274","34.260381","134.0428","浅野平池グリーンタウン公園","高松市香川町浅野3044-72",,,
"275","34.382273","134.15283","あじ竜王山公園","高松市庵治町4389-1",,"http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shisetsu/park/ryuozanpark.html",
"276","34.302882","134.045509","太田南皿井公園","高松市太田上町字皿井1172",,,
"277","34.309815","134.078505","木太今村上所公園","高松市木太町4426-29",,,
"278","34.308989","134.077225","木太今村上所第二公園","高松市木太町4452-9",,,
"279","34.32668","134.077468","木太えびす公園","高松市木太町字夷村3429-1",,,
"280","34.305962","133.961108","国分寺新居端岡公園","高松市国分寺町新居2004-11",,,
"281","34.192927","134.042726","塩江安原公園","高松市塩江町安原下第2号1530-1",,,
"282","34.340528","134.089913","新川河川敷緑地","高松市春日町1761地先",,,
"283","34.329671","134.110205","高松町下所公園","高松市高松町522-9",,,
"284","34.290267","134.053001","多肥上町出口北公園","高松市多肥上町847-10",,,
"285","34.28917","134.052928","多肥上町出口南公園","高松市多肥上町721-4",,,
"286","34.311119","134.0261","勅使町御殿ふれあい公園","高松市勅使町1215-1",,,
"287","34.286485","134.002307","中間川向公園","高松市中間町14-4",,,
"288","34.302006","134.018104","成合北第一団地公園","高松市成合町830-59",,,
"289","34.283874","134.04046","仏生山駅前公園","高松市仏生山町甲221-5",,"http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shisetsu/park/bussyouzanekimaepark.html",
"290","34.26082","134.075902","平和公園","高松市三谷町",,,
"291","34.269584","134.071233","みたに三郎池公園","高松市三谷町2665-1",,,
"292","34.352301","134.122344","与一公園","高松市牟礼町牟礼2633-5",,,
"293","34.353426","134.122623","与一北公園","高松市牟礼町牟礼2633-1",,,
"294","34.24376","134.012362","横井友舞公園","高松市香南町617-13",,,
"295","34.337426","134.002167","香西南町緩衝緑地","高松市香西南町287-3",,,
"296","34.290401","133.94798","国分寺町柏原額池緑地","高松市国分寺町柏原882-6",,,
"297","34.28996","133.972818","六ツ目墓園","高松市国分寺町福家乙39-1",,,
"298","34.26896","134.02486","大野ふれあい公園","高松市香川町大野1104",,,
"299","34.34403","134.00018","香西中央公園","高松市香西南町551",,,
"300","34.29018","134.01331","円座れいわ公園","高松市円座町987-4",,,
