#property,lunchDay,menuName,foodName,quantity
1,6/1/2021,黒糖パン,黒糖パン,50
2,6/1/2021,黒糖パン,粉黒糖,7.5
3,6/1/2021,牛乳,牛乳,206
4,6/1/2021,豚肉の角煮,豚肉赤身（3㎝角）,30
5,6/1/2021,豚肉の角煮,豚肉並（3㎝角）,20
6,6/1/2021,豚肉の角煮,サラダ油,1
7,6/1/2021,豚肉の角煮,（乾）早煮昆布（カット）,0.8
8,6/1/2021,豚肉の角煮,生姜,0.8
9,6/1/2021,豚肉の角煮,にんにく　,0.3
10,6/1/2021,豚肉の角煮,濃口醤油,2.5
11,6/1/2021,豚肉の角煮,砂糖（中双糖）,2.5
12,6/1/2021,豚肉の角煮,清酒,2.5
13,6/1/2021,豚肉の角煮,だし汁,15
14,6/1/2021,ゴーヤチャンプルー,ベーコン（短冊）,5
15,6/1/2021,ゴーヤチャンプルー,豆腐,15
16,6/1/2021,ゴーヤチャンプルー,キャベツ,25
17,6/1/2021,ゴーヤチャンプルー,もやし,15
18,6/1/2021,ゴーヤチャンプルー,ゴーヤ,15
19,6/1/2021,ゴーヤチャンプルー,人参,7
20,6/1/2021,ゴーヤチャンプルー,サラダ油,1
21,6/1/2021,ゴーヤチャンプルー,濃口醤油,0.8
22,6/1/2021,ゴーヤチャンプルー,ごま油,0.5
23,6/1/2021,ゴーヤチャンプルー,チキンコンソメ　乳・卵抜き,0.3
24,6/1/2021,ゴーヤチャンプルー,食塩,0.2
25,6/1/2021,ゴーヤチャンプルー,こしょう,0.03
26,6/1/2021,ゴーヤチャンプルー,花かつお　１kg,0.5
27,6/1/2021,わかめとうずら卵のスープ,（レト）うずら卵,25
28,6/1/2021,わかめとうずら卵のスープ,玉葱,20
29,6/1/2021,わかめとうずら卵のスープ,人参,5
30,6/1/2021,わかめとうずら卵のスープ,中ねぎ,5
31,6/1/2021,わかめとうずら卵のスープ,干しわかめ（カット）,0.6
32,6/1/2021,わかめとうずら卵のスープ,（レト）がらスープ,1.5
33,6/1/2021,わかめとうずら卵のスープ,清酒,1
34,6/1/2021,わかめとうずら卵のスープ,濃口醤油,0.8
35,6/1/2021,わかめとうずら卵のスープ,食塩,0.4
36,6/1/2021,わかめとうずら卵のスープ,チキンコンソメ　乳・卵抜き,0.1
37,6/1/2021,わかめとうずら卵のスープ,だし削り節　鯖抜き,5
38,6/1/2021,わかめとうずら卵のスープ,湯,120
39,6/1/2021,シークワーサーゼリー,（個）シークワーサーゼリー,50
40,6/2/2021,ガパオライス（麦ごはん）,精白米（委託）,70
41,6/2/2021,ガパオライス（麦ごはん）,米粒麦　委託　,7
42,6/2/2021,ガパオライス（麦ごはん）,豚肉赤身ミンチ,25
43,6/2/2021,ガパオライス（麦ごはん）,鶏肉　ひき肉,25
44,6/2/2021,ガパオライス（麦ごはん）,玉葱,40
45,6/2/2021,ガパオライス（麦ごはん）,なす,15
46,6/2/2021,ガパオライス（麦ごはん）,赤パプリカ,9
47,6/2/2021,ガパオライス（麦ごはん）,黄パプリカ,9
48,6/2/2021,ガパオライス（麦ごはん）,ピーマン,8
49,6/2/2021,ガパオライス（麦ごはん）,にんにく　,0.5
50,6/2/2021,ガパオライス（麦ごはん）,スイートバジル　乾燥,0.04
51,6/2/2021,ガパオライス（麦ごはん）,サラダ油,1
52,6/2/2021,ガパオライス（麦ごはん）,みりん,3
53,6/2/2021,ガパオライス（麦ごはん）,濃口醤油,2.5
54,6/2/2021,ガパオライス（麦ごはん）,オイスターソース,1
55,6/2/2021,ガパオライス（麦ごはん）,清酒,1
56,6/2/2021,ガパオライス（麦ごはん）,砂糖（上白糖）,0.9
57,6/2/2021,ガパオライス（麦ごはん）,食塩,0.4
58,6/2/2021,ガパオライス（麦ごはん）,こしょう,0.02
59,6/2/2021,ガパオライス（麦ごはん）,でんぷん,1
60,6/2/2021,ガパオライス（麦ごはん）,ごま油,0.7
61,6/2/2021,牛乳,牛乳,206
62,6/2/2021,ビーフンスープ,ボンレスハム（短冊）卵抜き,7
63,6/2/2021,ビーフンスープ,キャベツ,15
64,6/2/2021,ビーフンスープ,玉葱,15
65,6/2/2021,ビーフンスープ,チンゲンサイ,10
66,6/2/2021,ビーフンスープ,人参,7
67,6/2/2021,ビーフンスープ,ビーフン,5
68,6/2/2021,ビーフンスープ,（レト）がらスープ,4
69,6/2/2021,ビーフンスープ,濃口醤油,0.5
70,6/2/2021,ビーフンスープ,サラダ油,0.5
