#property,lunchDay,menuName,foodName,quantity
1,4/7/2021,カレーピラフ（麦入り）　,精白米（自校）,55
2,4/7/2021,カレーピラフ（麦入り）　,米粒麦　自校,5
3,4/7/2021,カレーピラフ（麦入り）　,（冷）鶏肉　胸・皮なし　カット,12
4,4/7/2021,カレーピラフ（麦入り）　,（冷）鶏肉　もも・皮なし　カット,8
5,4/7/2021,カレーピラフ（麦入り）　,白ぶどう酒,1
6,4/7/2021,カレーピラフ（麦入り）　,玉葱,12
7,4/7/2021,カレーピラフ（麦入り）　,人参,8
8,4/7/2021,カレーピラフ（麦入り）　,エリンギ　カット,5
9,4/7/2021,カレーピラフ（麦入り）　,（冷）むき枝豆,5
10,4/7/2021,カレーピラフ（麦入り）　,サラダ油,0.5
11,4/7/2021,カレーピラフ（麦入り）　,有塩バター,1
12,4/7/2021,カレーピラフ（麦入り）　,食塩,0.65
13,4/7/2021,カレーピラフ（麦入り）　,こしょう,0.03
14,4/7/2021,カレーピラフ（麦入り）　,カレー粉,0.7
15,4/7/2021,カレーピラフ（麦入り）　,チキンコンソメ　乳・卵抜き,0.4
16,4/7/2021,カレーピラフ（麦入り）　,ウスターソース,0.7
17,4/7/2021,牛乳　,牛乳,206
18,4/7/2021,ツナサラダ,（レト）まぐろ油漬,15
19,4/7/2021,ツナサラダ,（冷）ブロッコリー,15
20,4/7/2021,ツナサラダ,きゅうり,20
21,4/7/2021,ツナサラダ,（缶）ホールコーン,10
22,4/7/2021,ツナサラダ,食酢,3
23,4/7/2021,ツナサラダ,サラダ油,1
24,4/7/2021,ツナサラダ,砂糖（上白糖）,0.7
25,4/7/2021,ツナサラダ,食塩,0.3
26,4/7/2021,ツナサラダ,こしょう,0.04
27,4/7/2021,肉団子と野菜のスープ煮　,（冷）肉だんご,30
28,4/7/2021,肉団子と野菜のスープ煮　,マカロニ（シェル）,7
29,4/7/2021,肉団子と野菜のスープ煮　,玉葱,40
30,4/7/2021,肉団子と野菜のスープ煮　,キャベツ,30
31,4/7/2021,肉団子と野菜のスープ煮　,人参,15
32,4/7/2021,肉団子と野菜のスープ煮　,パセリ,1
33,4/7/2021,肉団子と野菜のスープ煮　,セロリー,2
34,4/7/2021,肉団子と野菜のスープ煮　,ローリエ,0.1
35,4/7/2021,肉団子と野菜のスープ煮　,サラダ油,0.5
36,4/7/2021,肉団子と野菜のスープ煮　,（レト）がらスープ,4
37,4/7/2021,肉団子と野菜のスープ煮　,チキンコンソメ　乳・卵抜き,0.3
38,4/7/2021,肉団子と野菜のスープ煮　,食塩,0.5
39,4/7/2021,肉団子と野菜のスープ煮　,こしょう,0.03
40,4/7/2021,肉団子と野菜のスープ煮　,湯,85
41,4/8/2021,麦ごはん　,精白米（委託）,60
42,4/8/2021,麦ごはん　,精白米（委託）,70
43,4/8/2021,麦ごはん　,米粒麦　委託　,6
44,4/8/2021,麦ごはん　,米粒麦　委託　,7
45,4/8/2021,牛乳,牛乳,206
46,4/8/2021,厚揚げの甘酢煮,豚肉　スライス,20
47,4/8/2021,厚揚げの甘酢煮,（冷）厚揚げ　カット,40
48,4/8/2021,厚揚げの甘酢煮,玉葱,40
49,4/8/2021,厚揚げの甘酢煮,（レト）たけのこボイル　ホール,20
50,4/8/2021,厚揚げの甘酢煮,人参,10
51,4/8/2021,厚揚げの甘酢煮,ピーマン,5
52,4/8/2021,厚揚げの甘酢煮,しいたけ　スライス,5
53,4/8/2021,厚揚げの甘酢煮,サラダ油,1
54,4/8/2021,厚揚げの甘酢煮,食酢,2
55,4/8/2021,厚揚げの甘酢煮,砂糖（上白糖）,2.5
56,4/8/2021,厚揚げの甘酢煮,濃口醤油,3
57,4/8/2021,厚揚げの甘酢煮,トマトケチャップ,3
58,4/8/2021,厚揚げの甘酢煮,清酒,1
59,4/8/2021,厚揚げの甘酢煮,チキンコンソメ　乳・卵抜き,0.5
60,4/8/2021,厚揚げの甘酢煮,食塩,0.1
61,4/8/2021,厚揚げの甘酢煮,でんぷん,1
62,4/8/2021,厚揚げの甘酢煮,湯,10
63,4/8/2021,ごま和え,小松菜,25
64,4/8/2021,ごま和え,キャベツ,25
65,4/8/2021,ごま和え,もやし,20
66,4/8/2021,ごま和え,炒り白ごま,1.5
67,4/8/2021,ごま和え,濃口醤油,3
68,4/8/2021,ごま和え,食酢,0.8
69,4/8/2021,ごま和え,砂糖（上白糖）,1
70,4/8/2021,あさりの佃煮,（レト）あさり佃煮,10
71,4/9/2021,コッペパン,コッペパン（丸型）,50
72,4/9/2021,コッペパン,コッペパン（丸型）,50
73,4/9/2021,牛乳,牛乳,206
74,4/9/2021,魚のごま揚げ,（冷）メルルーサ　骨なし　3㎝角,50
75,4/9/2021,魚のごま揚げ,清酒,2
76,4/9/2021,魚のごま揚げ,生姜,1
77,4/9/2021,魚のごま揚げ,濃口醤油,1
78,4/9/2021,魚のごま揚げ,食塩,0.2
79,4/9/2021,魚のごま揚げ,でんぷん,6
80,4/9/2021,魚のごま揚げ,米粉,4
81,4/9/2021,魚のごま揚げ,炒り白ごま,3
82,4/9/2021,魚のごま揚げ,なたね油,5
83,4/9/2021,海藻サラダ,キャベツ,30
84,4/9/2021,海藻サラダ,きゅうり,20
85,4/9/2021,海藻サラダ,（缶）ホールコーン,5
86,4/9/2021,海藻サラダ,（乾）海藻ミックス,1
87,4/9/2021,海藻サラダ,濃口醤油,2.3
88,4/9/2021,海藻サラダ,食酢,2.1
89,4/9/2021,海藻サラダ,砂糖（上白糖）,1.2
90,4/9/2021,海藻サラダ,ごま油,0.5
91,4/9/2021,海藻サラダ,サラダ油,0.5
92,4/9/2021,ロメインレタスのスープ,ベーコン　スライス,8
93,4/9/2021,ロメインレタスのスープ,ロメインレタス,20
94,4/9/2021,ロメインレタスのスープ,玉葱,15
95,4/9/2021,ロメインレタスのスープ,人参,7
96,4/9/2021,ロメインレタスのスープ,マカロニ（英字）,5
97,4/9/2021,ロメインレタスのスープ,サラダ油,0.5
98,4/9/2021,ロメインレタスのスープ,食塩,0.4
99,4/9/2021,ロメインレタスのスープ,こしょう,0.03
100,4/9/2021,ロメインレタスのスープ,濃口醤油,0.5
101,4/9/2021,ロメインレタスのスープ,（レト）がらスープ,4
102,4/9/2021,ロメインレタスのスープ,チキンコンソメ　乳・卵抜き,0.5
103,4/9/2021,ロメインレタスのスープ,湯,125
104,4/12/2021,麦ごはん,精白米（委託）,60
105,4/12/2021,麦ごはん,精白米（委託）,70
106,4/12/2021,麦ごはん,米粒麦　委託　,6
107,4/12/2021,麦ごはん,米粒麦　委託　,7
108,4/12/2021,牛乳,牛乳,206
109,4/12/2021,さばの生姜煮,冷）さばの生姜煮,50
110,4/12/2021,おひたし,もやし,40
111,4/12/2021,おひたし,小松菜,20
112,4/12/2021,おひたし,人参,7
113,4/12/2021,おひたし,炒り白ごま,1
114,4/12/2021,おひたし,濃口醤油,2.7
115,4/12/2021,おひたし,食酢,0.5
116,4/12/2021,おひたし,砂糖（上白糖）,0.4
117,4/12/2021,おひたし,食塩,0.03
118,4/12/2021,春大根のみそ汁,豆腐,15
119,4/12/2021,春大根のみそ汁,油揚げ,5
120,4/12/2021,春大根のみそ汁,春大根,30
121,4/12/2021,春大根のみそ汁,玉葱,20
122,4/12/2021,春大根のみそ汁,中ねぎ,5
123,4/12/2021,春大根のみそ汁,中みそ,6
124,4/12/2021,春大根のみそ汁,甘みそ,5
125,4/12/2021,春大根のみそ汁,だし煮干し,4
126,4/12/2021,春大根のみそ汁,湯,100
127,4/13/2021,コッペパン,コッペパン,50
128,4/13/2021,コッペパン,コッペパン,50
129,4/13/2021,牛乳,牛乳,206
130,4/13/2021,鶏肉のトマト煮,鶏肉　胸・皮なし　カット,30
131,4/13/2021,鶏肉のトマト煮,鶏肉　もも・皮なし　カット,20
132,4/13/2021,鶏肉のトマト煮,ベーコン　スライス,5
133,4/13/2021,鶏肉のトマト煮,（冷）大豆水煮,20
134,4/13/2021,鶏肉のトマト煮,玉葱,40
135,4/13/2021,鶏肉のトマト煮,キャベツ,20
136,4/13/2021,鶏肉のトマト煮,人参,15
137,4/13/2021,鶏肉のトマト煮,しめじ,10
138,4/13/2021,鶏肉のトマト煮,にんにく　,1
139,4/13/2021,鶏肉のトマト煮,パセリ,0.5
140,4/13/2021,鶏肉のトマト煮,サラダ油,0.5
141,4/13/2021,鶏肉のトマト煮,有塩バター,0.5
142,4/13/2021,鶏肉のトマト煮,トマト水煮,25
143,4/13/2021,鶏肉のトマト煮,トマトケチャップ,3
144,4/13/2021,鶏肉のトマト煮,砂糖（上白糖）,0.8
145,4/13/2021,鶏肉のトマト煮,赤ぶどう酒,1
146,4/13/2021,鶏肉のトマト煮,ウスターソース,0.7
147,4/13/2021,鶏肉のトマト煮,チキンコンソメ　乳・卵抜き,0.6
148,4/13/2021,鶏肉のトマト煮,食塩,0.3
149,4/13/2021,鶏肉のトマト煮,こしょう,0.05
150,4/13/2021,鶏肉のトマト煮,湯,20
151,4/13/2021,ポテトサラダ（マヨネーズ）,じゃがいも,55
152,4/13/2021,ポテトサラダ（マヨネーズ）,人参,5
153,4/13/2021,ポテトサラダ（マヨネーズ）,（冷）むき枝豆　,5
154,4/13/2021,ポテトサラダ（マヨネーズ）,（缶）ホールコーン,5
155,4/13/2021,ポテトサラダ（マヨネーズ）,ゆで塩,1
156,4/13/2021,ポテトサラダ（マヨネーズ）,（個）マヨネーズ,8
157,4/14/2021,麦ごはん,精白米（委託）,60
158,4/14/2021,麦ごはん,精白米（委託）,70
159,4/14/2021,麦ごはん,米粒麦　委託　,6
160,4/14/2021,麦ごはん,米粒麦　委託　,7
161,4/14/2021,牛乳,牛乳,206
162,4/14/2021,ホイコーロー,豚赤肉　スライス,40
163,4/14/2021,ホイコーロー,濃口醤油,1
164,4/14/2021,ホイコーロー,清酒,1
165,4/14/2021,ホイコーロー,キャベツ,40
166,4/14/2021,ホイコーロー,玉葱,35
167,4/14/2021,ホイコーロー,（レト）たけのこボイル　ホール,15
168,4/14/2021,ホイコーロー,人参,10
169,4/14/2021,ホイコーロー,ピーマン,8
170,4/14/2021,ホイコーロー,生姜,1
171,4/14/2021,ホイコーロー,にんにく　,0.5
172,4/14/2021,ホイコーロー,サラダ油,1
173,4/14/2021,ホイコーロー,赤みそ,2
174,4/14/2021,ホイコーロー,濃口醤油,1
175,4/14/2021,ホイコーロー,清酒,1
176,4/14/2021,ホイコーロー,砂糖（上白糖）,0.7
177,4/14/2021,ホイコーロー,オイスターソース,0.7
178,4/14/2021,ホイコーロー,豆板醤,0.05
179,4/14/2021,ホイコーロー,ごま油,0.5
180,4/14/2021,ビーフンサラダ,ロースハム　短冊　卵抜き,7
181,4/14/2021,ビーフンサラダ,ビーフン　9㎝カット,5
182,4/14/2021,ビーフンサラダ,もやし,25
183,4/14/2021,ビーフンサラダ,チンゲンサイ,15
184,4/14/2021,ビーフンサラダ,人参,8
185,4/14/2021,ビーフンサラダ,濃口醤油,2.5
186,4/14/2021,ビーフンサラダ,食酢,2.5
187,4/14/2021,ビーフンサラダ,砂糖（上白糖）,1.3
188,4/14/2021,ビーフンサラダ,ごま油,1
189,4/14/2021,ビーフンサラダ,からし粉,0.05
190,4/14/2021,ミニトマト,ミニトマト,30
191,4/15/2021,赤飯,精白米（自校）,50
192,4/15/2021,赤飯,精白米（自校）,55
193,4/15/2021,赤飯,もち米,18
194,4/15/2021,赤飯,もち米,20
195,4/15/2021,赤飯,（乾）小豆,7
196,4/15/2021,赤飯,食塩,0.6
197,4/15/2021,赤飯,炒り黒ごま,0.7
198,4/15/2021,牛乳,牛乳,206
199,4/15/2021,鶏肉のから揚げ,鶏肉　胸・皮なし　カット,30
200,4/15/2021,鶏肉のから揚げ,鶏肉　もも・皮なし　カット,20
201,4/15/2021,鶏肉のから揚げ,濃口醤油,2.5
202,4/15/2021,鶏肉のから揚げ,清酒,0.7
203,4/15/2021,鶏肉のから揚げ,生姜,0.7
204,4/15/2021,鶏肉のから揚げ,でんぷん,2
205,4/15/2021,鶏肉のから揚げ,米粉,4
206,4/15/2021,鶏肉のから揚げ,なたね油,5
207,4/15/2021,ゆでブロッコリー,（冷）ブロッコリー,30
208,4/15/2021,ゆでブロッコリー,ゆで塩,0.5
209,4/15/2021,すまし汁　,型抜きかまぼこ（桜）,6
210,4/15/2021,すまし汁　,（冷）豆腐　カット,20
211,4/15/2021,すまし汁　,玉葱,25
212,4/15/2021,すまし汁　,中ねぎ,5
213,4/15/2021,すまし汁　,（レト）たけのこボイル　カット,10
214,4/15/2021,すまし汁　,（乾）干しわかめ　カット,0.5
215,4/15/2021,すまし汁　,清酒,1
216,4/15/2021,すまし汁　,食塩,0.4
217,4/15/2021,すまし汁　,濃口醤油,0.5
218,4/15/2021,すまし汁　,だし削り節　鯖抜き,4
219,4/15/2021,すまし汁　,だし昆布,1
220,4/15/2021,すまし汁　,水,115
221,4/15/2021,いちごゼリー,（個）いちごゼリー,40
222,4/16/2021,小型コッペパン（袋入り）,（個）コッペパン,30
226,4/16/2021,牛乳,牛乳,206
227,4/16/2021,ソース焼きスパゲティ,スパゲティ（ハーフ）,35
228,4/16/2021,ソース焼きスパゲティ,ゆで塩,1.5
229,4/16/2021,ソース焼きスパゲティ,豚肉　スライス,15
230,4/16/2021,ソース焼きスパゲティ,（冷）いか　短冊　1×4㎝　,15
231,4/16/2021,ソース焼きスパゲティ,清酒,1.5
232,4/16/2021,ソース焼きスパゲティ,キャベツ,30
233,4/16/2021,ソース焼きスパゲティ,玉葱,20
234,4/16/2021,ソース焼きスパゲティ,人参,10
235,4/16/2021,ソース焼きスパゲティ,しいたけ　スライス,5
236,4/16/2021,ソース焼きスパゲティ,中ねぎ,5
237,4/16/2021,ソース焼きスパゲティ,生姜,1
238,4/16/2021,ソース焼きスパゲティ,にんにく　,0.1
239,4/16/2021,ソース焼きスパゲティ,サラダ油,2
240,4/16/2021,ソース焼きスパゲティ,とんかつソース,9
241,4/16/2021,ソース焼きスパゲティ,ウスターソース,2.5
242,4/16/2021,ソース焼きスパゲティ,食塩,0.25
243,4/16/2021,ソース焼きスパゲティ,こしょう,0.05
244,4/16/2021,ソース焼きスパゲティ,粉かつお,0.5
245,4/16/2021,ソース焼きスパゲティ,青のり粉,0.2
246,4/16/2021,野菜サラダ,（冷）ブロッコリー,25
247,4/16/2021,野菜サラダ,きゅうり,25
248,4/16/2021,野菜サラダ,人参,7
249,4/16/2021,野菜サラダ,食酢,2.2
250,4/16/2021,野菜サラダ,濃口醤油,2
251,4/16/2021,野菜サラダ,砂糖（上白糖）,1.2
252,4/16/2021,野菜サラダ,サラダ油,0.5
253,4/16/2021,野菜サラダ,ごま油,0.5
254,4/16/2021,清見オレンジ,清見オレンジ,50
255,4/19/2021,カレーライス（麦ごはん）,精白米（委託）,60
256,4/19/2021,カレーライス（麦ごはん）,精白米（委託）,70
257,4/19/2021,カレーライス（麦ごはん）,米粒麦　委託　,6
258,4/19/2021,カレーライス（麦ごはん）,米粒麦　委託　,7
259,4/19/2021,牛乳,牛乳,206
260,4/19/2021,カレーライス（麦ごはん）,牛肉　スライス,25
261,4/19/2021,カレーライス（麦ごはん）,じゃがいも,50
262,4/19/2021,カレーライス（麦ごはん）,玉葱,40
263,4/19/2021,カレーライス（麦ごはん）,人参,10
264,4/19/2021,カレーライス（麦ごはん）,（冷）むき枝豆　,5
265,4/19/2021,カレーライス（麦ごはん）,（乾）レンズ豆　,5
266,4/19/2021,カレーライス（麦ごはん）,セロリー,5
267,4/19/2021,カレーライス（麦ごはん）,にんにく　,0.5
268,4/19/2021,カレーライス（麦ごはん）,小麦粉,6
269,4/19/2021,カレーライス（麦ごはん）,サラダ油,4
270,4/19/2021,カレーライス（麦ごはん）,カレー粉,1
271,4/19/2021,カレーライス（麦ごはん）,サラダ油,2
272,4/19/2021,カレーライス（麦ごはん）,（レト）がらスープ,4
273,4/19/2021,カレーライス（麦ごはん）,赤ぶどう酒,2
274,4/19/2021,カレーライス（麦ごはん）,トマトケチャップ,2
275,4/19/2021,カレーライス（麦ごはん）,ウスターソース,1.3
276,4/19/2021,カレーライス（麦ごはん）,とんかつソース,1
277,4/19/2021,カレーライス（麦ごはん）,濃口醤油,1
278,4/19/2021,カレーライス（麦ごはん）,チャツネ,1
279,4/19/2021,カレーライス（麦ごはん）,チキンコンソメ　乳・卵抜き,0.5
280,4/19/2021,カレーライス（麦ごはん）,食塩,0.5
281,4/19/2021,カレーライス（麦ごはん）,こしょう,0.04
282,4/19/2021,カレーライス（麦ごはん）,湯,90
283,4/19/2021,フレンチサラダ,キャベツ,20
284,4/19/2021,フレンチサラダ,きゅうり,25
285,4/19/2021,フレンチサラダ,人参,10
286,4/19/2021,フレンチサラダ,（缶）ホールコーン,5
287,4/19/2021,フレンチサラダ,食酢,3
288,4/19/2021,フレンチサラダ,サラダ油,1
289,4/19/2021,フレンチサラダ,砂糖（上白糖）,0.8
290,4/19/2021,フレンチサラダ,食塩,0.25
291,4/19/2021,フレンチサラダ,こしょう,0.03
292,4/19/2021,小煮干し,小煮干し,4
293,4/20/2021,セルフハンバーガー（おからハンバーグ　ゆで野菜)　,コッペパン（丸型）,50
294,4/20/2021,セルフハンバーガー（おからハンバーグ　ゆで野菜)　,コッペパン（丸型）,50
295,4/20/2021,牛乳,牛乳,206
296,4/20/2021,セルフハンバーガー（おからハンバーグ　ゆで野菜),冷）おからハンバーグ　ボイル用,50
297,4/20/2021,セルフハンバーガー（おからハンバーグ　ゆで野菜)　,キャベツ,35
298,4/20/2021,セルフハンバーガー（おからハンバーグ　ゆで野菜)　,人参,5
299,4/20/2021,セルフハンバーガー（おからハンバーグ　ゆで野菜)　,ゆで塩,0.4
300,4/20/2021,セルフハンバーガー（おからハンバーグ　ゆで野菜)　,（個）トマトケチャップ　,8
302,4/20/2021,クラムチャウダー　,（冷）あさりむき身,10
303,4/20/2021,クラムチャウダー　,白ぶどう酒,1
304,4/20/2021,クラムチャウダー　,ベーコン　スライス,5
305,4/20/2021,クラムチャウダー　,（冷）白いんげん豆ペースト,10
306,4/20/2021,クラムチャウダー　,じゃがいも,30
307,4/20/2021,クラムチャウダー　,玉葱,30
308,4/20/2021,クラムチャウダー　,人参,7
309,4/20/2021,クラムチャウダー　,しめじ,5
310,4/20/2021,クラムチャウダー　,パセリ,0.5
311,4/20/2021,クラムチャウダー　,有塩バター,0.5
312,4/20/2021,クラムチャウダー　,（レト）がらスープ,4
313,4/20/2021,クラムチャウダー　,食塩,0.55
314,4/20/2021,クラムチャウダー　,こしょう,0.05
315,4/20/2021,クラムチャウダー　,チキンコンソメ　乳・卵抜き,0.6
316,4/20/2021,クラムチャウダー　,コーンスターチ,1
317,4/20/2021,クラムチャウダー　,調理用牛乳,30
318,4/20/2021,クラムチャウダー　,湯,50
319,4/21/2021,たけのこごはん,精白米（自校）,60
320,4/21/2021,たけのこごはん,（冷）鶏肉　胸・皮なし　カット,9
321,4/21/2021,たけのこごはん,（冷）鶏肉　もも・皮なし　カット,6
322,4/21/2021,たけのこごはん,清酒,1
323,4/21/2021,たけのこごはん,油揚げ,5
324,4/21/2021,たけのこごはん,（レト）新たけのこボイル　ホール,20
325,4/21/2021,たけのこごはん,（冷）むき枝豆　,5
326,4/21/2021,たけのこごはん,人参,5
327,4/21/2021,たけのこごはん,濃口醤油,2
328,4/21/2021,たけのこごはん,清酒,2
329,4/21/2021,たけのこごはん,食塩,0.6
330,4/21/2021,たけのこごはん,砂糖（上白糖）,0.5
331,4/21/2021,たけのこごはん,だし昆布,1
332,4/21/2021,牛乳,牛乳,206
333,4/21/2021,きんぴら,てんぷら,10
334,4/21/2021,きんぴら,洗いごぼう,25
